Product Name,Quantity,Retail Price,Received,Profit,Amazon Link,Ebay Link
"MWOOT 12 Pieces Magnets Screen Door Decals,Double Sided Protector Magnetic Screen Butterfly Dragonfly Hummingbird Stickers,Screen Door Protector Decorative Protect for Pets Children Birds(6 Styles)",1,10.69,14.05,1.25,https://www.amazon.com/Mwoot-12-Pieces-Magnets-Screen-Door-Decalsdouble-Sided-Protector-Magnetic-Scree/dp/B0BHSTVRDM?tag=dcaft-20,https://www.ebay.com/itm/315269276700
"Lavalier Microphone for Rode Wireless GO 2 / ii & DJI Mic Transmitters, Omnidirectional Lapel Lav Videomic with Clip, 5 ft",2,25.84,33.16,2.34,https://www.amazon.com/dp/B0BGJ355ZT?tag=dcaft-20,https://www.ebay.com/itm/156083711602
"V8 +ENERGY Strawberry Banana Energy Drink, 8 fl oz Can (4 Packs of 6 Cans)",1,14.12,23.5,5.86,https://www.amazon.com/dp/B078Q5G9PC?tag=dcaft-20,https://www.ebay.com/itm/145681190116
"Mae Ploy Red Curry Paste, Authentic Thai Red Curry Paste For Thai Curries And Other Dishes, Aromatic Blend Of Herbs, Spices And Shrimp Paste, No MSG, Preservatives Or Artificial Coloring (14oz Tub)",1,7.75,11.68,2.18,https://www.amazon.com/Thai-Red-Curry-Paste-14-Oz-Jar-By-Mae-Ploy/dp/B0091UW4QS?tag=dcaft-20,https://www.ebay.com/itm/334897734091
Medsuo Strong Wood Beech Shoe Horn Wooden Shoe Horn Long Handle Slim Shape Shoe Dressing Aid for Men Women,1,4.71,9.6,3.45,https://www.amazon.com/dp/B0BX3KZC54?tag=dcaft-20,https://www.ebay.com/itm/364664385000
"Silver Swan Special Soy Sauce, 34 Ounce",1,10.98,15.27,2,https://www.amazon.com/Silver-Swan-Special-Soy-Sauce-34-Ounce/dp/B00FMOXYM0?tag=dcaft-20,https://www.ebay.com/itm/156154170641
"Clear Eyes Redness Eye Relief Eye Drops, 0.5 Fl Oz, Pack of 3",1,8.98,12,1.22,https://www.amazon.com/Clear-Eyes-Redness-Eye-Relief-Eye-Drops-05-Fl-Oz-Pack-Of-3/dp/B07H91XKV5?tag=dcaft-20,https://www.ebay.com/itm/355607931337
"JFJ Disc Repair JFJPOL2 12oz #2 Polish Compound, White",1,17.05,21.99,1.64,https://www.amazon.com/Jfj-Disc-Repair-Jfjpol2-12Oz-2-Polish-Compound-White/dp/B0015R9SEQ?tag=dcaft-20,https://www.ebay.com/itm/355605459288
"TECWAP Propane Tank Holder Cylinder Wall Mounted Bracket Gas Cylinder Bracket Durable ABS Gas Cylinder with Screws and Safety Chain Supported 4''-12'', for 1Cylinder Pack of 1 Blue (Blue) (XZ002)",1,10.82,14.75,1.72,https://www.amazon.com/dp/B0B8Z2LJWN?tag=dcaft-20,https://www.ebay.com/itm/226076239755
"Doctor's Best Vitamin D3 5000IU, Non-GMO, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, White, No Flavour, 180 Count",1,6.3,8.75,1.14,https://www.amazon.com/dp/B002SE3E8G?tag=dcaft-20,https://www.ebay.com/itm/394801229552
"MASON NATURAL, Vitamin B-1 Thiamine Tablets, 250 Mg, 100-Count Bottle, Dietary Supplement Supports Energy Production and Healthy Metabolism, Helps Break Down Fats and Protein",1,7.95,11.85,2.12,https://www.amazon.com/dp/B0050NMR9O?tag=dcaft-20,https://www.ebay.com/itm/355616885601
